station_id,station_name,city,country,latitude,longitude,elevation,install_date,pooled_first_timestamp,pooled_last_timestamp,pooled_rows,pooled_present_hours,present_rate,terminal_padded_rows,status_class
IALWAH18,Roaya-Awjila,Awjila,Libya,29.124472,21.285446,16,2025-08-25,2025-08-25 22:00:00,2026-03-31 23:00:00,5234,4770,0.911348872755063,0,reliable_reference_candidate
I90583612,Roaya-Al-Uwaynah,Al-Uwaynah,Libya,31.976779,12.482434,202,2025-10-07,2025-10-07 18:00:00,2026-03-31 23:00:00,3726,605,0.1623725174449812,39,outage_dominated
IBARAS3,Roaya-Gharyan,Gharyan,Libya,32.143264,13.018256,216,2025-10-06,2025-10-06 20:00:00,2026-03-31 23:00:00,4228,3666,0.8670766319772942,0,reliable_reference_candidate
IBIRAL3,Roaya-Ber Alghanam,Bir al Ghanam,Libya,32.318991,12.574238,41,2025-10-05,2025-10-05 22:00:00,2026-03-31 23:00:00,4250,3667,0.8628235294117647,0,reliable_reference_candidate
IDERNA7,Roaya-Derna,Derna,Libya,32.766357,22.641455,3,2025-06-15,2025-06-15 15:00:00,2026-03-31 23:00:00,6711,3337,0.49724333184324243,2,outage_dominated
IJABAL13,Roaya-Yafran,Yafran,Libya,32.101958,12.551183,640,2025-10-05,2025-10-04 23:00:00,2026-03-31 23:00:00,4273,3808,0.8911771589047508,34,reliable_but_terminal_gap
IJABAL14,Roaya-Zintan,Zintan,Libya,31.92421,12.264878,654,2025-10-05,2025-10-05 16:00:00,2026-03-31 23:00:00,4256,3830,0.8999060150375939,0,reliable_reference_candidate
IJABAL15,Roaya-Mizdah,Mizdah,Libya,31.461729,12.983949,144,2025-10-05,2025-10-05 16:00:00,2026-03-31 23:00:00,4256,3825,0.8987312030075187,0,reliable_reference_candidate
IJABAL16,Roaya-Al-Asabaa,Al-Asabaa,Libya,32.081197,12.888562,815,2025-10-06,2025-10-06 21:00:00,2026-03-31 23:00:00,4227,3502,0.8284835580790159,0,usable
IJANZO2,Roaya-Ganzour,Ganzour,Libya,32.820177,12.991854,5,2025-10-09,2025-10-09 12:00:00,2026-03-31 23:00:00,4164,3756,0.9020172910662824,0,reliable_reference_candidate
IJANZO3,Roaya-Maya,Maya,Libya,32.784235,12.857167,8,2025-10-08,2025-10-08 19:00:00,2026-03-31 23:00:00,4181,3718,0.8892609423582875,0,reliable_reference_candidate
IJANZO4,Roaya-Qasr Bin Ghashir,Qasr Bin Ghashir,Libya,32.690144,13.201313,21,2025-10-09,2025-10-09 13:00:00,2026-03-31 23:00:00,4163,675,0.1621426855632957,625,outage_dominated
IMISRA12,Roaya-Tawergha,Tawergha,Libya,31.971379,15.091041,8,2025-10-16,2025-10-16 16:00:00,2026-03-31 23:00:00,3992,3498,0.87625250501002,0,reliable_reference_candidate
IMISRA13,Roaya-Zliten,Zliten,Libya,32.348137,14.574401,45,2025-10-04,2025-10-04 13:00:00,2026-03-31 23:00:00,4283,3699,0.8636469764183983,0,reliable_reference_candidate
IMURQU5,Roaya-Tarhuna,Tarhuna,Libya,32.294368,13.623417,487,2025-10-05,2025-10-05 15:00:00,2026-03-31 23:00:00,4257,2964,0.6962649753347427,292,outage_dominated
IMURQU6,Roaya-Khoms,Khoms,Libya,32.65723,14.242337,12,2025-10-06,2025-10-05 23:00:00,2026-03-31 23:00:00,3871,2138,0.5523120640661328,269,outage_dominated
IMURQU7,Roaya-Msallata,Msallata,Libya,32.464557,14.077052,56,2025-10-07,2025-10-07 20:00:00,2026-03-31 23:00:00,4204,3565,0.8480019029495718,0,usable
INALUT3,Roaya-Tiji,Tiji,Libya,32.00446,11.381656,64,2025-10-08,2025-10-08 22:00:00,2026-03-31 23:00:00,4178,2616,0.6261369076112973,0,weak
INUQAT10,Roaya-Al-Ajaylat,Al-Ajaylat,Libya,32.771523,12.320158,2,2025-10-12,2025-10-12 16:00:00,2026-03-31 23:00:00,4088,3409,0.833904109589041,0,usable
INUQAT8,Roaya-Ragdalin,Ragdalin,Libya,32.897844,11.967586,4,2025-10-09,2025-10-09 10:00:00,2026-03-31 23:00:00,4166,3875,0.9301488238118099,0,reliable_reference_candidate
INUQAT9,Roaya-Sabratha,Sabratha,Libya,32.736552,12.452316,3,2025-10-10,2025-10-10 06:00:00,2026-03-31 23:00:00,4146,3461,0.8347805113362277,0,usable
ITAHLI1,Roaya-Al-Aziziyah,Al-Aziziyah,Libya,32.503011,13.037324,36,2025-10-08,2025-10-08 07:00:00,2026-03-31 23:00:00,4193,3694,0.8809921297400429,0,reliable_reference_candidate
ITRIPO32,Roaya-Tajura,Tajura,Libya,32.881396,13.387467,8,2025-10-09,2025-10-09 17:00:00,2026-03-31 23:00:00,3797,1778,0.46826441927837764,97,outage_dominated
ITRIPO33,Roaya-Tripoli,Tripoli,Libya,32.881258,13.160197,10,2025-10-11,2025-10-11 20:00:00,2026-03-31 23:00:00,4108,3382,0.823271665043817,75,usable
IZAWIY5,Roaya-Surman,Surman,Libya,32.752357,12.582403,2,2025-10-05,2025-10-05 22:00:00,2026-03-31 23:00:00,4250,3685,0.8670588235294118,0,reliable_reference_candidate
IZAWIY7,Roaya-Al-Zawiyah,Al-Zawiyah,Libya,32.756648,12.798849,11,2025-10-07,2025-10-07 09:00:00,2026-03-31 23:00:00,4215,3725,0.8837485172004745,0,reliable_reference_candidate
